name,upper_lower_id,push_pull_id
Tricep Pushdown With Rope,2,2
Zercher Squat,1,2
Ball Slams,2,NULL
Cable Crunch,2,NULL
Crunch,2,NULL
Dead Bug,2,NULL
Hanging Knee Raise,2,NULL
Hanging Leg Raise,2,NULL
Hanging Sit-Up,2,NULL
High to Low Wood Chop with Band,2,NULL
Horizontal Wood Chop with Band,2,NULL
Kneeling Ab Wheel Roll-Out,2,NULL
Kneeling Plank,2,NULL
Kneeling Side Plank,2,NULL
Lying Leg Raise,2,NULL
Lying Windshield Wiper,2,NULL
Lying Windshield Wiper with Bent Knees,2,NULL
Machine Crunch,2,NULL
Mountain Climbers,2,NULL
Oblique Crunch,2,NULL
Oblique Sit-Up,2,NULL
Plank,2,NULL
Plank with Leg Lifts,2,NULL
Side Plank,2,NULL
Sit-Up,2,NULL
